Open Source,Country,Yearly Salary in USD
No,Spain,29373
No,United Kingdom,68049
Yes,United Kingdom,45838
No,United States,57000
No,United States,82000
No,Germany,67313
Yes,India,46963
No,United States,105000
No,United States,100000
No,United Kingdom,51117
No,United Kingdom,62507
No,United Kingdom,62507
Yes,Belgium,36716
No,Spain,34269
Yes,United States,110000
No,United States,100000
Yes,Bulgaria,20000
No,India,18785
Yes,United States,83000
Yes,Ireland,16668
No,United States,111000
Yes,United Kingdom,41671
No,India,17220
No,United States,95000
No,Germany,53851
No,United States,50000
No,United States,140000
No,United States,44460
No,United Kingdom,23058
Yes,Canada,96626
No,France,49200
Yes,India,9784
No,Canada,52339
No,Australia,103965
No,Germany,51403
No,United Kingdom,69452
Yes,Austria,61194
No,Spain,31821
Yes,Canada,62001
No,India,7201
Yes,United States,63000
No,Canada,64417
No,Germany,62418
No,Switzerland,92800
No,Spain,30597
Yes,United States,160000
No,Australia,103965
No,Lebanon,12000
No,Italy,36716
No,Canada,36235
No,Germany,104030
Yes,United States,100000
Yes,United States,115000
No,United States,85000
Yes,United States,105000
No,United States,160000
Yes,Norway,76514
Yes,United States,125000
No,Costa Rica,60000
Yes,Germany,89343
No,Canada,41871
No,United States,130000
No,India,12210
Yes,Spain,28761
Yes,United States,142000
Yes,Australia,159947
Yes,India,10426
Yes,United States,140000
No,United States,65000
Yes,Austria,83224
No,India,31309
Yes,United States,126000
Yes,Switzerland,0
Yes,United States,130000
Yes,United States,155000
No,United Kingdom,76397
Yes,United States,100000
No,United Kingdom,52783
No,Australia,103965
No,United States,110000
Yes,United States,150800
No,United States,125000
No,France,91791
No,United States,56000
Yes,Netherlands,67313
Yes,United States,60000
Yes,Australia,55182
Yes,Belgium,0
No,Germany,70985
No,United States,6600
No,United States,160000
No,Sudan,50
Yes,United States,60000
No,United States,85000
No,Netherlands,45283
No,Canada,40261
Yes,India,25047
No,United States,109000
Yes,Spain,0
No,South Africa,61806
Yes,France,123612
No,Switzerland,41708
Yes,India,10332
No,Brazil,0
No,Austria,61683
No,Australia,94369
No,United States,84000
Yes,India,34440
Yes,Germany,91791
No,United Kingdom,86120
No,India,21133
Yes,United States,105000
Yes,United States,126000
No,Spain,30597
No,United States,100000
Yes,South Africa,69000
No,United Kingdom,63896
No,India,7827
No,United Kingdom,30559
No,United Kingdom,39588
Yes,United States,80000
Yes,United States,83000
Yes,United States,142000
No,United States,110000
No,Germany,70985
No,United Kingdom,48616
Yes,United States,52250
No,United Kingdom,20836
Yes,India,10175
No,United Kingdom,222246
No,Spain,88119
No,United States,76500
No,United States,135000
Yes,Netherlands,95462
No,Austria,82000
No,Germany,105253
No,Germany,85671
Yes,United States,130000
No,United States,55000
Yes,India,25830
Yes,Australia,95968
No,India,9393
No,United States,50000
Yes,United States,80000
No,United States,39750
Yes,United States,81000
No,Belgium,55686
No,United Kingdom,43060
No,Canada,48313
Yes,United States,100000
Yes,India,16437
No,Canada,64417
No,Canada,64417
No,India,16257
No,United States,56000
No,Spain,73433
Yes,United States,105000
No,United States,75000
Yes,United Kingdom,40282
No,India,51660
No,Germany,73433
No,United States,75000
Yes,United States,110000
No,United Kingdom,97233
No,India,7827
No,United States,85000
No,Norway,75239
No,India,39136
Yes,United States,86000
No,India,0
Yes,South Africa,123612
No,United States,130000
No,United States,128000
No,United States,8000
No,Austria,68537
Yes,Netherlands,87507
No,United States,50000
No,India,4227
Yes,United States,85000
No,United States,125000
Yes,United States,130000
Yes,India,19959
No,Australia,71976
Yes,United States,115000
No,United States,35000
No,Germany,85671
No,United States,72000
No,India,5870
No,United States,73000
No,United Kingdom,30559
No,United States,70000
No,Australia,59980
Yes,United Kingdom,62507
Yes,United States,110000
No,United States,91000
Yes,India,42267
Yes,United States,175000
Yes,Canada,53949
Yes,United States,80000
Yes,United States,220000
Yes,France,14687
Yes,France,116268
Yes,Germany,15910
No,Germany,46997
No,United States,125000
Yes,Denmark,86785
Yes,United States,80000
Yes,Germany,51403
No,United States,133000
No,Canada,70859
No,United Kingdom,64590
Yes,United States,130000
Yes,United Kingdom,50005
Yes,United Kingdom,69452
Yes,United States,200000
Yes,United Kingdom,55562
Yes,India,0
No,Spain,91791
No,United States,70000
Yes,United Kingdom,118068
No,India,43206
Yes,Germany,79552
No,Australia,71976
Yes,France,88119
No,United States,80000
No,United States,97000
No,United States,90000
Yes,United States,58000
No,Australia,119960
No,Ireland,0
